YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,
2004,25-34,39266556,0.10635,0.001040784,,,,
2004,35-44,43800275,0.0272,0.001948892,,,,
2004,45-54,41629930,0.0005,0.004268491,,,,
2004,55-64,29305304,0,0.009032392,,,,
2004,65-74,18667533,0,0.021409685,,,,
2004,75+,17535786,0,0.077327757,,,,
2005,<4,19917400,0,0.001666683,,,,
2005,5-14,40601646,0.0006,0.000162604,,,,
2005,15-24,42446169,0.07075,0.000806527,,,,
2005,25-34,39258647,0.1066,0.001067918,,,,
2005,35-44,43505538,0.02775,0.001948832,,,,
2005,45-54,42495904,0.0006,0.004318769,,,,
2005,55-64,30641497,0,0.008984581,,,,
2005,65-74,18881697,0,0.021097415,,,,
2005,75+,17768101,0,0.07822074,,,,
2006,<4,19938883,0,0.001662982,,,,
2006,5-14,40577826,0.0006,0.000151536,,,,
2006,15-24,42843844,0.0733,0.000814283,,,,
2006,25-34,39395179,0.10845,0.001090286,,,,
2006,35-44,43243801,0.02845,0.001920345,,,,
2006,45-54,43286159,0.0006,0.0042746,,,,
2006,55-64,31930113,0,0.008813029,,,,
2006,65-74,19203027,0,0.020314141,,,,
2006,75+,17961080,0,0.076238734,,,,
2007,<4,20125962,0,0.00168146,,,,
2007,5-14,40555653,0.0006,0.000151569,,,,
2007,15-24,43145815,0.07345,0.000787608,,,,
2007,25-34,39713463,0.10935,0.001071979,,,,
2007,35-44,42796230,0.0286,0.001860117,,,,
2007,45-54,43939939,0.0006,0.004203146,,,,
2007,55-64,33128434,0,0.008666573,,,,
2007,65-74,19698727,0,0.019759551,,,,
2007,75+,18126984,0,0.075375418,,,,
2008,<4,20271127,0,0.001617522,,,,
2008,5-14,40636257,0.0006,0.000139063,,,,
2008,15-24,43391492,0.071,0.000742035,,,,
2008,25-34,40207473,0.1072,0.001051421,,,,
2008,35-44,42192486,0.02835,0.001810038,,,,
2008,45-54,44460447,0.0007,0.004195684,,,,
2008,55-64,34157063,0,0.008671179,,,,
2008,65-74,20505679,0,0.019583794,,,,
2008,75+,18271942,0,0.076524488,,,,
2009,<4,20244518,0,0.001524462,,,,
2009,5-14,40843063,0.0005,0.000138359,,,,
2009,15-24,43576932,0.06705,0.000697984,,,,
2009,25-34,40723342,0.1045,0.001043677,,,,
2009,35-44,41487811,0.02805,0.001799685,,,,
2009,45-54,44867088,0.0007,0.004180525,,,,
2009,55-64,35405600,0,0.008566639,,,,
2009,65-74,21233099,0,0.018887116,,,,
2009,75+,18390076,0,0.074002141,,,,
2010,<4,20200945.5,0,0.001430696,,,,
2010,5-14,41051135.5,0.0004,0.000128675,,,,
2010,15-24,43626683.5,0.0621,0.000677366,,,,
2010,25-34,41155511.5,0.1024,0.001029102,,,,
2010,35-44,41026015.5,0.02875,0.001705185,,,,
2010,45-54,45009982.5,0.0007,0.004070659,,,,
2010,55-64,36624557,0,0.008519154,,,,
2010,65-74,21777400.5,0,0.018751115,,,,
2010,75+,18575382,0,0.074974851,,,,
2011,<4,20125967,0,0.001400204,,,,
2011,5-14,41049762,0.0004,0.000131606,,,,
2011,15-24,43835815,0.0583,0.000677362,,,,
2011,25-34,41819155,0.10185,0.001046841,,,,
2011,35-44,40671719,0.02875,0.001720318,,,,
2011,45-54,44760623,0.0007,0.004097817,,,,
2011,55-64,38089851,0,0.008494399,,,,
2011,65-74,22495505,0,0.01846174,,,,
2011,75+,18870460,0,0.074912215,,,,
2012,<4,19980580,0,0.001392396,,,,
2012,5-14,41143020,0.0004,0.000126383,,,,
2012,15-24,43980135,0.05625,0.000664074,,,,
2012,25-34,42328649,0.1019,0.001053929,,,,
2012,35-44,40576051,0.02935,0.001707012,,,,
2012,45-54,44317574,0.0007,0.004053944,,,,
