YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,,
2003,55-64,2800000,0,0.0109758,,,,,
2003,65-74,1851000,0,0.0226072,,,,,
2003,75+,1580090.909,0,0.149376615,,,,,
2004,<4,3956000,0,0.0031615,,,,,
2004,5-14,4086000,0.0006,0.000174909,,,,,
2004,15-24,4193000,0.071,0.0005264,,,,,
2004,25-34,3927000,0.10635,0.0010336,,,,,
2004,35-44,4380000,0.0272,0.0022962,,,,,
2004,45-54,4164000,0.0005,0.0053825,,,,,
2004,55-64,2931000,0,0.0109758,,,,,
2004,65-74,1867000,0,0.0226072,,,,,
2004,75+,1595818.182,0,0.149376615,,,,,
2005,<4,3982000,0,0.0031615,,,,,
2005,5-14,4060000,0.0006,0.000174909,,,,,
2005,15-24,4246000,0.07075,0.0005264,,,,,
2005,25-34,3929000,0.1066,0.0010336,,,,,
2005,35-44,4351000,0.02775,0.0022962,,,,,
2005,45-54,4250000,0.0006,0.0053825,,,,,
2005,55-64,3065000,0,0.0109758,,,,,
2005,65-74,1888000,0,0.0226072,,,,,
2005,75+,1616272.727,0,0.149376615,,,,,
2006,<4,3988000,0,0.0031615,,,,,
2006,5-14,4057000,0.0006,0.000174909,,,,,
2006,15-24,4285000,0.0733,0.0005264,,,,,
2006,25-34,3938000,0.10845,0.0010336,,,,,
2006,35-44,4323000,0.02845,0.0022962,,,,,
2006,45-54,4328000,0.0006,0.0053825,,,,,
2006,55-64,3194000,0,0.0109758,,,,,
2006,65-74,1920000,0,0.0226072,,,,,
2006,75+,1633090.909,0,0.149376615,,,,,
2007,<4,4024000,0,0.0031615,,,,,
2007,5-14,4056000,0.0006,0.000174909,,,,,
2007,15-24,4314000,0.07345,0.0005264,,,,,
2007,25-34,3970000,0.10935,0.0010336,,,,,
2007,35-44,4279000,0.0286,0.0022962,,,,,
2007,45-54,4393000,0.0006,0.0053825,,,,,
2007,55-64,3313000,0,0.0109758,,,,,
2007,65-74,1971000,0,0.0226072,,,,,
2007,75+,1648545.455,0,0.149376615,,,,,
2008,<4,4052000,0,0.0031615,,,,,
2008,5-14,4063000,0.0006,0.000174909,,,,,
2008,15-24,4340000,0.071,0.0005264,,,,,
2008,25-34,4023000,0.1072,0.0010336,,,,,
2008,35-44,4219000,0.02835,0.0022962,,,,,
2008,45-54,4445000,0.0007,0.0053825,,,,,
2008,55-64,3415000,0,0.0109758,,,,,
2008,65-74,2051000,0,0.0226072,,,,,
2008,75+,1660909.091,0,0.149376615,,,,,
2009,<4,4048000,0,0.0031615,,,,,
2009,5-14,4085000,0.0005,0.000174909,,,,,
2009,15-24,4358000,0.06705,0.0005264,,,,,
2009,25-34,4072000,0.1045,0.0010336,,,,,
2009,35-44,4150000,0.02805,0.0022962,,,,,
2009,45-54,4486000,0.0007,0.0053825,,,,,
2009,55-64,3541000,0,0.0109758,,,,,
2009,65-74,2122000,0,0.0226072,,,,,
2009,75+,1672727.273,0,0.149376615,,,,,
2010,<4,4038000,0,0.0031615,,,,,
2010,5-14,4104000,0.0004,0.000174909,,,,,
2010,15-24,4364000,0.0621,0.0005264,,,,,
2010,25-34,4116000,0.1024,0.0010336,,,,,
2010,35-44,4103000,0.02875,0.0022962,,,,,
2010,45-54,4500000,0.0007,0.0053825,,,,,
2010,55-64,3669000,0,0.0109758,,,,,
2010,65-74,2181000,0,0.0226072,,,,,
2010,75+,1271363.636,0,0.149376615,,,,,
2011,<4,4024000,0,0.0031615,,,,,
2011,5-14,4105000,0.0004,0.000174909,,,,,
2011,15-24,4383000,0.0583,0.0005264,,,,,
2011,25-34,4182000,0.10185,0.0010336,,,,,
2011,35-44,4067000,0.02875,0.0022962,,,,,
2011,45-54,4476000,0.0007,0.0053825,,,,,
2011,55-64,3810000,0,0.0109758,,,,,
2011,65-74,2250000,0,0.0226072,,,,,
2011,75+,1228727.273,0,0.149376615,,,,,
2012,<4,3996000,0,0.0031615,,,,,
2012,5-14,4115000,0.0004,0.000174909,,,,,
2012,15-24,4398000,0.05625,0.0005264,,,,,
2012,25-34,4233000,0.1019,0.0010336,,,,,
2012,35-44,4058000,0.02935,0.0022962,,,,,
2012,45-54,4431000,0.0007,0.0053825,,,,,
2012,55-64,3862000,0,0.0109758,,,,,
2012,65-74,2399000,0,0.0226072,,,,,
2012,75+,1239727.273,0,0.149376615,,,,,
2013,<4,3968000,0,0.0031615,,,,,
2013,5-14,4123000,0.0003,0.000174909,,,,,
2013,15-24,4405000,0.0536,0.0005264,,,,,
2013,25-34,4289000,0.10175,0.0010336,,,,,
2013,35-44,4052000,0.02985,0.0022962,,,,,
2013,45-54,4384000,0.0008,0.0053825,,,,,
2013,55-64,3935000,0,0.0109758,,,,,
2013,65-74,2523000,0,0.0226072,,,,,
2013,75+,1257727.273,0,0.149376615,,,,,
2014,<4,3976000,0,0.0031615,,,,,
2014,5-14,4122000,0.0003,0.000174909,,,,,
2014,15-24,4401000,0.0516,0.0005264,,,,,
2014,25-34,4354000,0.1033,0.0010336,,,,,
2014,35-44,4054000,0.0308,0.0022962,,,,,
2014,45-54,4346000,0.0008,0.0053825,,,,,
2014,55-64,4009000,0,0.0109758,,,,,
2014,65-74,2639000,0,0.0226072,,,,,
2014,75+,1275818.182,0,0.149376615,,,,,
2015,<4,3982000,0,0.0031615,,,,,
2015,5-14,4111000,0.0002,0.000174909,,,,,
2015,15-24,4384000,0.0496,0.0005264,,,,,
2015,25-34,4412000,0.10285,0.0010336,,,,,
2015,35-44,4060000,0.03135,0.0022962,,,,,
2015,45-54,4318000,0.0008,0.0053825,,,,,
2015,55-64,4087000,0,0.0109758,,,,,
2015,65-74,2754000,0,0.0226072,,,,,
2015,75+,1301181.818,0,0.149376615,,,,,
