Age_Lower,Age_Upper,Population,Year
75,100,40797572.0,1995
75,100,34665008.0,1996
75,100,33860776.0,1997
75,100,18028914.0,1998
75,100,39260592.0,1999
75,100,36171992.0,2000
75,100,28396120.0,2001
75,100,29701188.0,2002
75,100,37451176.0,2003
75,100,34445704.0,2004
75,100,30916350.0,2005
75,100,34232300.0,2006
75,100,36879068.0,2007
75,100,34565056.0,2008
75,100,34003888.0,2009
75,100,36481292.0,2010
75,100,37088544.0,2011
75,100,35949104.0,2012
75,100,36549820.0,2013
75,100,37994632.0,2014
75,100,38030684.0,2015
