Age_Lower,Age_Upper,Population,Year
0,4,19907281.0,2015
0,4,38796425.0575,2016
0,4,39439963.6308,2017
0,4,40094452.0471,2018
0,4,39921884.4525,2019
0,4,39758213.954,2020
0,4,38829886.1556,2021
0,4,42508965.7156,2022
0,4,46682599.6739,2023
0,4,56012956.5437,2024
0,4,65929897.0853,2025
0,4,69316790.6525,2026
0,4,72313748.3347,2027
0,4,73103869.3044,2028
0,4,74646163.7434,2029
0,4,79327813.6432,2030
0,4,87884986.038,2031
0,4,98446037.2495,2032
0,4,111010733.97,2033
0,4,120807420.83,2034
0,4,127644323.591,2035
0,4,133224247.812,2036
0,4,138745640.984,2037
0,4,147263667.783,2038
0,4,160075166.37,2039
0,4,176274856.259,2040
5,9,20554753.0,2015
5,9,19844344.1311,2016
5,9,38673770.1597,2017
5,9,39315274.1858,2018
5,9,39967693.437,2019
5,9,39795671.4148,2020
5,9,39632518.3606,2021
5,9,38707125.4706,2022
5,9,42374573.6205,2023
5,9,46535012.635,2024
5,9,55835871.5816,2025
5,9,65721459.7157,2026
5,9,69097645.6188,2027
5,9,72085128.4193,2028
5,9,72872751.4216,2029
5,9,74410169.8967,2030
5,9,79077018.7603,2031
5,9,87607137.6547,2032
5,9,98134800.1027,2033
5,9,110659773.534,2034
5,9,120425488.169,2035
5,9,127240776.062,2036
5,9,132803059.352,2037
5,9,138306996.64,2038
5,9,146798093.697,2039
5,9,159569088.731,2040
10,14,20554753.0,2015
10,14,20489769.1484,2016
10,14,19781606.2371,2017
10,14,38551503.0353,2018
10,14,39190978.9464,2019
10,14,39841335.5742,2020
10,14,39669857.3997,2021
10,14,39507220.1538,2022
10,14,38584752.8934,2023
10,14,42240606.406,2024
10,14,46387892.1925,2025
10,14,55659346.4736,2026
10,14,65513681.3208,2027
10,14,68879193.4122,2028
10,14,71857231.2858,2029
10,14,72642364.218,2030
10,14,74174922.1446,2031
10,14,78827016.7655,2032
10,14,87330167.689,2033
10,14,97824546.9322,2034
10,14,110309922.66,2035
10,14,120044762.988,2036
10,14,126838504.349,2037
10,14,132383202.48,2038
10,14,137869739.071,2039
10,14,146333991.524,2040
15,19,21924108.0,2015
15,19,20489769.1484,2016
15,19,20424990.7432,2017
15,19,19719066.689,2018
15,19,38429622.4585,2019
15,19,39067076.6665,2020
15,19,39715377.1918,2021
15,19,39544441.1455,2022
15,19,39382318.0773,2023
15,19,38462767.1971,2024
15,19,42107062.7288,2025
15,19,46241236.8714,2026
15,19,55483379.4497,2027
15,19,65306559.8173,2028
15,19,68661431.8422,2029
15,19,71630054.6491,2030
15,19,72412705.3835,2031
15,19,73940418.1282,2032
15,19,78577805.152,2033
15,19,87054073.3638,2034
15,19,97515274.627,2035
15,19,109961177.84,2036
15,19,119665241.47,2037
15,19,126437504.417,2038
15,19,131964672.986,2039
15,19,137433863.89,2040
20,24,21924108.0,2015
20,24,21920273.2762,2016
20,24,20486185.3034,2017
20,24,20421418.2285,2018
20,24,19715617.6468,2019
20,24,38422900.7716,2020
20,24,39060243.4832,2021
20,24,39708430.6149,2022
20,24,39537524.4668,2023
20,24,39375429.7554,2024
20,24,38456039.713,2025
20,24,42099697.8246,2026
20,24,46233148.8629,2027
20,24,55473674.9073,2028
20,24,65295137.1123,2029
20,24,68649422.3398,2030
20,24,71617525.9079,2031
20,24,72400039.7497,2032
20,24,73927485.2836,2033
20,24,78564061.1867,2034
20,24,87038846.8229,2035
20,24,97498218.3279,2036
20,24,109941944.64,2037
20,24,119644310.942,2038
20,24,126415389.36,2039
20,24,131941591.177,2040
25,29,22068601.0,2015
25,29,21920273.2762,2016
25,29,21916439.2231,2017
25,29,20482602.0852,2018
25,29,20417846.3387,2019
25,29,19712169.2078,2020
25,29,38416180.2605,2021
25,29,39053411.495,2022
25,29,39701485.253,2023
25,29,39530608.998,2024
25,29,39368542.6383,2025
